5	data type
# t
# x         (UTM)                                     
# y 		(UTM)
# z			(m)
1	1500.00     500.00	0.00
1	1500.00    1500.00	0.00
1	1500.00    2500.00	0.00
1	1500.00    3500.00	0.00
1	1500.00    4500.00	0.00
1	1500.00    5500.00	0.00
1	2000.00    1500.00	0.00
1	2000.00    2500.00	0.00
1	2000.00    3500.00	0.00
1	2000.00    4500.00	0.00
1   2500.00     500.00	0.00
1   2500.00    1500.00	0.00
1   2500.00    2500.00	0.00
1   2500.00    3500.00	0.00
1   2500.00    4500.00	0.00
1   2500.00    5500.00	0.00
